# Bibliography Reference Source Map (b1 - b40)
# Open standards and preprints archived locally in ESP32_PQC_MLKEM768_Q1_Evidence_Package/10_submission/references/
# Publisher PDFs requiring institutional login are marked PAYWALL.
# Text-only standards where publisher does not generate official PDF are marked FAIL.

b01 | Shor (1994), Algorithms for quantum computation: discrete logarithms and factoring | DOI: 10.1109/SFCS.1994.365700 | PAYWALL (IEEE Xplore)
b02 | NIST (2024), FIPS 203: Module-Lattice-Based Key-Encapsulation Mechanism Standard | DOI: 10.6028/NIST.FIPS.203 | b02_fips203.pdf
b03 | Regev (2009), On lattices, learning with errors, random linear codes, and cryptography | DOI: 10.1145/1568318.1568324 | b03_regev_author.pdf
b04 | Bos et al. (2018), CRYSTALS-Kyber: A CCA-secure module-lattice-based KEM | DOI: 10.1109/EuroSP.2018.00032 | b04_kyber_eurosp_eprint.pdf
b05 | Bernstein (2006), Curve25519: New Diffie-Hellman speed records | DOI: 10.1007/11745853_14 | b05_curve25519.pdf
b06 | Botros, Kannwischer, Schwabe (2019), Memory-efficient high-speed implementation of Kyber on Cortex-M4 | DOI: 10.1007/978-3-030-23696-0_11 | b06_botros.pdf
b07 | Kannwischer, Rijneveld, Schwabe, Stoffelen (2019), pqm4: Testing and Benchmarking NIST PQC on ARM Cortex-M4 | IACR ePrint 2019/844 | b07_pqm4.pdf
b08 | Bindel, Brendel, Fischlin, Goncalves, Stebila (2019), Hybrid key encapsulation mechanisms and authenticated key exchange | DOI: 10.1007/978-3-030-25510-7_12 | b08_bindel.pdf
b09 | Alagic et al. (2025), NIST SP 800-227: Recommendations for Key-Encapsulation Mechanisms | DOI: 10.6028/NIST.SP.800-227 | b09_sp800-227.pdf
b10 | Mosca (2018), Cybersecurity in an era with quantum computers: Will we be ready? | DOI: 10.1109/MSP.2018.3761723 | PAYWALL (IEEE Security & Privacy)
b11 | Bürstinghaus-Steinbach et al. (2020), Post-quantum TLS on embedded systems: Integrating and evaluating Kyber and SPHINCS+ with mbed TLS | DOI: 10.1145/3320269.3384725 | PAYWALL (ACM Digital Library)
b12 | Abdulrahman, Hwang, Kannwischer, Sprenkels (2022), Faster Kyber and Dilithium on the Cortex-M4 | DOI: 10.1007/978-3-031-09234-3_42 | b12_abdulrahman.pdf
b13 | Huang et al. (2024), Yet another improvement of Plantard arithmetic for faster Kyber on low-end 32-bit IoT devices | DOI: 10.1109/TIFS.2024.3371369 | PAYWALL (IEEE TIFS)
b14 | Schwabe, Stebila, Wiggers (2020), Post-quantum TLS without handshake signatures | DOI: 10.1145/3372297.3423350 | b14_kemtls.pdf
b15 | Alagic et al. (2022), NIST IR 8413: Status Report on the Third Round of the NIST PQC Standardization Process | DOI: 10.6028/NIST.IR.8413 | b15_ir8413.pdf
b16 | Kwiatkowski, Kampanakis, Westerbaan, Stebila (2026), RFC 10024: Post-Quantum Traditional (PQ/T) Hybrid Key Agreement Mechanisms for TLS 1.3 | DOI: 10.17487/RFC10024 | b16_rfc10024.pdf
b17 | Stebila, Fluhrer, Gueron (2026), RFC 9954: Hybrid Key Exchange in TLS 1.3 | DOI: 10.17487/RFC9954 | b17_rfc9954.pdf
b18 | Ravi, Sinha Roy, Chattopadhyay, Bhasin (2020), Generic side-channel attacks on CCA-secure lattice-based PKE and KEMs | DOI: 10.13154/tches.v2020.i3.307-335 | b18_ravi_tches_eprint.pdf
b19 | Langley, Hamburg, Turner (2016), RFC 7748: Elliptic Curves for Security | DOI: 10.17487/RFC7748 | FAIL (HTTP 404: published as text-only RFC; official PDF not generated by RFC Editor)
b20 | Krawczyk, Eronen (2010), RFC 5869: HMAC-based Extract-and-Expand Key Derivation Function (HKDF) | DOI: 10.17487/RFC5869 | FAIL (HTTP 404: published as text-only RFC; official PDF not generated by RFC Editor)
b21 | Rescorla (2018), RFC 8446: The Transport Layer Security (TLS) Protocol Version 1.3 | DOI: 10.17487/RFC8446 | FAIL (HTTP 404: published as text/HTML RFC; official PDF not generated by RFC Editor)
b22 | Dworkin (2007), NIST SP 800-38D: Recommendation for Block Cipher Modes of Operation: Galois/Counter Mode (GCM) and GMAC | DOI: 10.6028/NIST.SP.800-38D | b22_sp800-38d.pdf
b23 | Fujisaki, Okamoto (1999), Secure integration of asymmetric and symmetric encryption schemes | DOI: 10.1007/3-540-48405-1_34 | PAYWALL (Springer CRYPTO '99)
b24 | Krawczyk, Bellare, Canetti (1997), RFC 2104: HMAC: Keyed-Hashing for Message Authentication | DOI: 10.17487/RFC2104 | FAIL (HTTP 404: published as text-only RFC; official PDF not generated by RFC Editor)
b25 | Blanchet (2001), An efficient cryptographic protocol verifier based on Prolog rules | DOI: 10.1109/CSFW.2001.930138 | PAYWALL (IEEE CSFW 2001; author repository requires institutional login)
b26 | Lyubashevsky, Peikert, Regev (2010), On ideal lattices and learning with errors over rings | DOI: 10.1007/978-3-642-13190-5_1 | b26_ringlwe.pdf
b27 | Chen et al. (2016), NIST IR 8105: Report on Post-Quantum Cryptography | DOI: 10.6028/NIST.IR.8105 | b27_ir8105.pdf
b28 | Avanzi et al. (2021), CRYSTALS-Kyber algorithm specifications and supporting documentation (version 3.02) | URL: https://pq-crystals.org/kyber/data/kyber-specification-round3-20210804.pdf | b28_kyber_r3_spec.pdf
b29 | McGrew, Viega (2004), The security and performance of the Galois/Counter Mode (GCM) of operation | DOI: 10.1007/978-3-540-30556-9_27 | PAYWALL (Springer INDOCRYPT 2004)
b30 | NIST (2001), FIPS 197: Advanced Encryption Standard (AES) | DOI: 10.6028/NIST.FIPS.197 | b30_fips197.pdf
b31 | Driscoll, Parsons, Hale (2025), RFC 9794: Terminology for Post-Quantum Traditional Hybrid Schemes | DOI: 10.17487/RFC9794 | b31_rfc9794.pdf
b32 | Barnes, Bhargavan, Lipp, Wood (2022), RFC 9180: Hybrid Public Key Encryption | DOI: 10.17487/RFC9180 | b32_rfc9180.pdf
b33 | Barker, Chen, Davis (2020), NIST SP 800-56C Rev. 2: Recommendation for Key-Derivation Methods in Key-Establishment Schemes | DOI: 10.6028/NIST.SP.800-56Cr2 | b33_sp800-56cr2.pdf
b34 | Paquin, Stebila, Tamvada (2020), Benchmarking post-quantum cryptography in TLS | DOI: 10.1007/978-3-030-44223-1_5 | b34_paquin_pqcrypto.pdf
b35 | McGrew (2008), RFC 5116: An Interface and Algorithms for Authenticated Encryption | DOI: 10.17487/RFC5116 | FAIL (HTTP 404: published as text-only RFC; official PDF not generated by RFC Editor)
b36 | NIST (2015), FIPS 180-4: Secure Hash Standard (SHS) | DOI: 10.6028/NIST.FIPS.180-4 | b36_fips180-4.pdf
b37 | NIST (2008), FIPS 198-1: The Keyed-Hash Message Authentication Code (HMAC) | DOI: 10.6028/NIST.FIPS.198-1 | b37_fips198-1.pdf
b38 | Sikeridis, Kampanakis, Devetsikiotis (2020), Post-Quantum Authentication in TLS 1.3: A Performance Study | DOI: 10.14722/ndss.2020.24203 | b38_sikeridis_ndss.pdf
b39 | Moody et al. (2024), NIST IR 8547 (Initial Public Draft): Transition to Post-Quantum Cryptography Standards | DOI: 10.6028/NIST.IR.8547.ipd | b39_ir8547_ipd.pdf
b40 | Bernstein et al. (2025), KyberSlash: Exploiting secret-dependent division timings in Kyber implementations | DOI: 10.46586/tches.v2025.i2.209-234 | b40_kyberslash_eprint.pdf
